Document Title,Application Number,Document Type,Originating Body,Date,Conclusion
CASE OF A.C. AND OTHERS v. SPAIN - [Spanish Translation] summary by the Spanish Ministry of Justice,6528/11;6529/11;6530/11;6559/11;6562/11;6569/11;6572/11;6574/11;6586/11;6590/11;6595/11;6602/11;6605/11;6869/11;6875/11;19730/11;19739/11;19766/11;19774/11;19783/11;19791/11;19796/11;19837/11;19846/11;19854/11;19913/11;19920/11;19951/11;61912/12;62497/12,HJUDSPA,Court (Third Section),22/04/2014,Preliminary objection joined to merits and dismissed (Article 35-1 - Exhaustion of domestic remedies);Remainder inadmissible;Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy);Respondent State to take individual measures (Article 46-2 - Individual measures)
CASE OF A.C. AND OTHERS v. SPAIN - [Icelandic Translation] summary by the Institute of Human Rights at the University of Iceland ,6528/11;6529/11;6530/11;6559/11;6562/11;6569/11;6572/11;6574/11;6586/11;6590/11;6595/11;6602/11;6605/11;6869/11;6875/11;19730/11;19739/11;19766/11;19774/11;19783/11;19791/11;19796/11;19837/11;19846/11;19854/11;19913/11;19920/11;19951/11;61912/12;62497/12,HJUDICE,Court (Third Section),22/04/2014,Preliminary objection joined to merits and dismissed (Article 35-1 - Exhaustion of domestic remedies);Remainder inadmissible;Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy);Respondent State to take individual measures (Article 46-2 - Individual measures)
CASE OF A.C. AND OTHERS v. SPAIN – [Polish Translation] by the Polish Supreme Administrative Court,6528/11;6529/11;6530/11;6559/11;6562/11;6569/11;6572/11;6574/11;6586/11;6590/11;6595/11;6602/11;6605/11;6869/11;6875/11;19730/11;19739/11;19766/11;19774/11;19783/11;19791/11;19796/11;19837/11;19846/11;19854/11;19913/11;19920/11;19951/11;61912/12;62497/12,HJUDPOL,Court (Third Section),22/04/2014,Preliminary objection joined to merits and dismissed (Article 35-1 - Exhaustion of domestic remedies);Remainder inadmissible;Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy);Respondent State to take individual measures (Article 46-2 - Individual measures)
CASE OF A.C. AND OTHERS v. SPAIN - [Croatian Translation] summary by the Republic of Croatia (Office of the Agent) ,6528/11;6529/11;6530/11;6559/11;6562/11;6569/11;6572/11;6574/11;6586/11;6590/11;6595/11;6602/11;6605/11;6869/11;6875/11;19730/11;19739/11;19766/11;19774/11;19783/11;19791/11;19796/11;19837/11;19846/11;19854/11;19913/11;19920/11;19951/11;61912/12;62497/12,HJUDHRV,Court (Third Section),22/04/2014,Preliminary objection joined to merits and dismissed (Article 35-1 - Exhaustion of domestic remedies);Remainder inadmissible;Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy);Respondent State to take individual measures (Article 46-2 - Individual measures)
CASE OF A.C. AND OTHERS v. SPAIN - [Turkish Translation] legal summary by the Turkish Ministry of Justice,6528/11;6529/11;6530/11;6559/11;6562/11;6569/11;6572/11;6574/11;6586/11;6590/11;6595/11;6602/11;6605/11;6869/11;6875/11;19730/11;19739/11;19766/11;19774/11;19783/11;19791/11;19796/11;19837/11;19846/11;19854/11;19913/11;19920/11;19951/11;61912/12;62497/12,HJUDTUR,Court (Third Section),22/04/2014,Preliminary objection joined to merits and dismissed (Article 35-1 - Exhaustion of domestic remedies);Remainder inadmissible;Violation of Article 13 - Right to an effective remedy (Article 13 - Effective remedy);Respondent State to take individual measures (Article 46-2 - Individual measures)
CASE OF DEL RÍO PRADA v. SPAIN - [Romanian translation] legal summary by the IER (Institutului European din România),42750/09,HJUDRUM,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Albanian Translation] by the COE Human Rights Trust Fund,42750/09,HJUDALB,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Turkish Translation] by the COE Human Rights Trust Fund,42750/09,HJUDTUR,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Turkish Translation] legal summary by the COE Human Rights Trust Fund,42750/09,HJUDTUR,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [German Translation] summary by the Austrian Institute for Human Rights (ÖIM),42750/09,HJUDGER,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Icelandic Translation] summary by the Institute of Human Rights at the University of Iceland ,42750/09,HJUDICE,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Turkish Translation] summary by the Constitutional Court of the Republic of Turkey,42750/09,HJUDTUR,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Polish Translation] legal summary by the Polish Ministry of Justice,42750/09,HJUDPOL,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [German Translation] by the Austrian Institute for Human Rights (ÖIM),42750/09,HJUDGER,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
AFFAIRE DEL RÍO PRADA c. ESPAGNE,42750/09,HFJUD,Court (Grand Chamber),21/10/2013,Violation de l'article 7 - Pas de peine sans loi (Article 7-1 - Peine plus forte;Nulla poena sine lege;Rétroactivité);Violation de l'article 5 - Droit à la liberté et à la sûreté (Article 5-1 - Arrestation ou détention régulière);Etat défendeur tenu de prendre des mesures individuelles (Article 46-2 - Mesures individuelles);Préjudice moral - réparation
CASE OF DEL RÍO PRADA v. SPAIN,42750/09,HEJUD,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,42750/09,HJUDSPA,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Albanian Translation] legal summary by the COE Human Rights Trust Fund,42750/09,HJUDALB,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Armenian Translation] legal summary by the COE Human Rights Trust Fund,42750/09,HJUDARM,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Armenian Translation] by the COE Human Rights Trust Fund,42750/09,HJUDARM,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Georgian Translation] by the COE Human Rights Trust Fund,42750/09,HJUDGEO,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Georgian Translation] legal summary by the COE Human Rights Trust Fund,42750/09,HJUDGEO,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Macedonian Translation] by the COE Human Rights Trust Fund,42750/09,HJUDMAC,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Macedonian Translation] legal summary by the COE Human Rights Trust Fund,42750/09,HJUDMAC,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Montenegrin Translation] by the COE Human Rights Trust Fund,42750/09,HJUDMNE,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Romanian Translation] by the COE Human Rights Trust Fund,42750/09,HJUDRUM,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Romanian Translation] summary by the COE Human Rights Trust Fund,42750/09,HJUDRUM,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Ukrainian Translation] by the COE Human Rights Trust Fund,42750/09,HJUDUKR,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Ukrainian Translation] legal summary by the COE Human Rights Trust Fund,42750/09,HJUDUKR,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Georgian Translation] legal summary by the Human Rights Centre; Supreme Court of Georgia,42750/09,HJUDGEO,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Azerbaijani Translation] legal summary by the COE Human Rights Trust Fund,42750/09,HJUDAZE,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Azerbaijani Translation] by the COE Human Rights Trust Fund,42750/09,HJUDAZE,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
CASE OF DEL RÍO PRADA v. SPAIN - [Turkish Translation] legal summary by the Turkish Ministry of Justice,42750/09,HJUDTUR,Court (Grand Chamber),21/10/2013,Violation of Article 7 - No punishment without law (Article 7-1 - Heavier penalty;Nulla poena sine lege;Retroactivity);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award
AFFAIRE ROMAN ZURDO ET AUTRES c. ESPAGNE,28399/09;51135/09,HFJUD,Court (Third Section),08/10/2013,Violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès public)
CASE OF ROMAN ZURDO AND OTHERS v. SPAIN,28399/09;51135/09,HEJUD,Court (Third Section),08/10/2013,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Public hearing)
CASE OF ROMAN ZURDO AND OTHERS v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,28399/09;51135/09,HJUDSPA,Court (Third Section),08/10/2013,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Public hearing)
CASE OF SARDÓN ALVIRA v. SPAIN,46090/10,HEJUD,Court (Third Section),24/09/2013,Preliminary objection joined to merits (Article 35-3 - Ratione materiae);Remainder inadmissible;No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Civil rights and obligations;Criminal charge;Fair hearing)
AFFAIRE SARDÓN ALVIRA c. ESPAGNE,46090/10,HFJUD,Court (Third Section),24/09/2013,Exception préliminaire jointe au fond (Article 35-3 - Ratione materiae);Partiellement irrecevable;Non-violation de l'article 6 - Droit à un procès équitable (Article 6 - Procédure civile;Article 6-1 - Droits et obligations de caractère civil;Accusation en matière pénale;Procès équitable)
CASE OF SARDÓN ALVIRA v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,46090/10,HJUDSPA,Court (Third Section),24/09/2013,Preliminary objection joined to merits (Article 35-3 - Ratione materiae);Remainder inadmissible;No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Civil rights and obligations;Criminal charge;Fair hearing)
AFFAIRE R.M.S. c. ESPAGNE,28775/12,HFJUD,Court (Third Section),18/06/2013,Violation de l'article 8 - Droit au respect de la vie privée et familiale (Article 8 - Obligations positives;Article 8-1 - Respect de la vie familiale;Respect de la vie privée);Préjudice moral - réparation
CASE OF R.M.S. v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,28775/12,HJUDSPA,Court (Third Section),18/06/2013,Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for family life;Respect for private life);Non-pecuniary damage - award
CASE OF R.M.S. v. SPAIN - [Czech Translation] summary by the Ministry of Justice of the Czech Republic,28775/12,HJUDCZE,Court (Third Section),18/06/2013,Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for family life;Respect for private life);Non-pecuniary damage - award
CASE OF R.M.S. v. SPAIN [Extracts],28775/12,HEJUD,Court (Third Section),18/06/2013,Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for family life;Respect for private life);Non-pecuniary damage - award
AFFAIRE MANZANAS MARTIN c. ESPAGNE,17966/10,HFJUD,Court (Third Section),05/03/2013,Radiation du rôle (Article 37-1 - Radiation du rôle)
CASE OF MANZANAS MARTIN v. SPAIN,17966/10,HEJUD,Court (Third Section),05/03/2013,Struck out of the list (Article 37-1 - Striking out applications)
AFFAIRE VARELA GEIS c. ESPAGNE,61005/09,HFJUD,Court (Third Section),05/03/2013,Violation de l'article 6+6-3-a - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable) (Article 6 - Droit à un procès équitable;Article 6-3-a - Information détaillée;Information sur la nature et la cause de l'accusation);Violation de l'article 6+6-3-b - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable) (Article 6 - Droit à un procès équitable;Article 6-3-b - Préparation de la défense);Préjudice moral - réparation
CASE OF VARELA GEIS v. SPAIN,61005/09,HEJUD,Court (Third Section),05/03/2013,Violation of Article 6+6-3-a - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6 - Right to a fair trial;Article 6-3-a - Information in detail;Information on nature and cause of accusation);Violation of Article 6+6-3-b - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6 - Right to a fair trial;Article 6-3-b - Preparation of defence);Non-pecuniary damage - award
CASE OF VARELA GEIS v. SPAIN - [Italian Translation] by the Italian Ministry of Justice,61005/09,HJUDITA,Court (Third Section),05/03/2013,Violation of Article 6+6-3-a - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6 - Right to a fair trial;Article 6-3-a - Information in detail;Information on nature and cause of accusation);Violation of Article 6+6-3-b - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6 - Right to a fair trial;Article 6-3-b - Preparation of defence);Non-pecuniary damage - award
CASE OF VARELA GEIS v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,61005/09,HJUDSPA,Court (Third Section),05/03/2013,Violation of Article 6+6-3-a - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6 - Right to a fair trial;Article 6-3-a - Information in detail;Information on nature and cause of accusation);Violation of Article 6+6-3-b - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6 - Right to a fair trial;Article 6-3-b - Preparation of defence);Non-pecuniary damage - award
CASE OF VARELA GEIS v. SPAIN - [German Translation] by the Austrian Institute for Human Rights (ÖIM),61005/09,HJUDGER,Court (Third Section),05/03/2013,Violation of Article 6+6-3-a - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-a - Information in detail;Information on nature and cause of accusation;Article 6 - Right to a fair trial);Violation of Article 6+6-3-b - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-b - Preparation of defence;Article 6 - Right to a fair trial);Non-pecuniary damage - award
CASE OF VARELA GEIS v. SPAIN - [Icelandic Translation] summary by the Institute of Human Rights at the University of Iceland ,61005/09,HJUDICE,Court (Third Section),05/03/2013,Violation of Article 6+6-3-a - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-a - Information in detail;Information on nature and cause of accusation;Article 6 - Right to a fair trial);Violation of Article 6+6-3-b - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-b - Preparation of defence;Article 6 - Right to a fair trial);Non-pecuniary damage - award
CASE OF VARELA GEIS v. SPAIN - [Czech Translation] summary by the Ministry of Justice of the Czech Republic ,61005/09,HJUDCZE,Court (Third Section),05/03/2013,Violation of Article 6+6-3-a - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-a - Information in detail;Information on nature and cause of accusation;Article 6 - Right to a fair trial);Violation of Article 6+6-3-b - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-b - Preparation of defence;Article 6 - Right to a fair trial);Non-pecuniary damage - award
CASE OF VARELA GEIS v. SPAIN - [Turkish Translation] legal summary by the Turkish Ministry of Justice,61005/09,HJUDTUR,Court (Third Section),05/03/2013,Violation of Article 6+6-3-a - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-a - Information in detail;Information on nature and cause of accusation;Article 6 - Right to a fair trial);Violation of Article 6+6-3-b - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-b - Preparation of defence;Article 6 - Right to a fair trial);Non-pecuniary damage - award
CASE OF MANZANAS MARTIN v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,17966/10,HJUDSPA,Court (Third Section),05/03/2013,Struck out of the list (Article 37-1 - Striking out applications)
CASE OF GARCÍA MATEOS v. SPAIN - [Arabic translation] legal summary by the EU - CoE South Programme II ,38285/09,HJUDARA,Court (Third Section),19/02/2013,Preliminary objection dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;Violation of Article 14+6-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 6-1 - Access to court;Article 6 - Enforcement proceedings;Right to a fair trial);Non-pecuniary damage - award
CASE OF GANI v. SPAIN,61800/08,HEJUD,Court (Third Section),19/02/2013,Remainder inadmissible;No violation of Article 6+6-3-d - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6 - Right to a fair trial;Article 6-3-d - Examination of witnesses)
AFFAIRE GANI c. ESPAGNE,61800/08,HFJUD,Court (Third Section),19/02/2013,Partiellement irrecevable;Non-violation de l'article 6+6-3-d - Droit à un procès équitable (Article 6 - Procédure pénale;Article 6-1 - Procès équitable) (Article 6 - Droit à un procès équitable;Article 6-3-d - Interrogation des témoins)
CASE OF GANI v. SPAIN - [Armenian Translation] legal summary by the House for Rights and Democracy and the COE Human Rights Trust Fund,61800/08,HJUDARM,Court (Third Section),19/02/2013,Remainder inadmissible;No violation of Article 6+6-3-d - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-d - Examination of witnesses;Article 6 - Right to a fair trial)
CASE OF GANI v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,61800/08,HJUDSPA,Court (Third Section),19/02/2013,Remainder inadmissible;No violation of Article 6+6-3-d - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-d - Examination of witnesses;Article 6 - Right to a fair trial)
CASE OF GANI v. SPAIN – [Armenian Translation] by the Danida Project on Strengthening the application of the ECHR in Armenia ,61800/08,HJUDARM,Court (Third Section),19/02/2013,Remainder inadmissible;No violation of Article 6+6-3-d - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-d - Examination of witnesses;Article 6 - Right to a fair trial)
CASE OF GANI v. SPAIN - [Czech Translation] summary by the Ministry of Justice of the Czech Republic,61800/08,HJUDCZE,Court (Third Section),19/02/2013,Remainder inadmissible;No violation of Article 6+6-3-d - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing) (Article 6-3-d - Examination of witnesses;Article 6 - Right to a fair trial)
AFFAIRE GARCÍA MATEOS c. ESPAGNE,38285/09,HFJUD,Court (Third Section),19/02/2013,Exception préliminaire rejetée (Article 35-1 - Epuisement des voies de recours internes);Violation de l'article 14+6-1 - Interdiction de la discrimination (Article 14 - Discrimination) (Article 6 - Droit à un procès équitable;Procédure d'exécution;Article 6-1 - Accès à un tribunal);Préjudice moral - réparation
CASE OF GARCÍA MATEOS v. SPAIN,38285/09,HEJUD,Court (Third Section),19/02/2013,Preliminary objection dismissed (Article 35-1 - Exhaustion of domestic remedies);Violation of Article 14+6-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 6 - Right to a fair trial;Enforcement proceedings;Article 6-1 - Access to court);Non-pecuniary damage - award
CASE OF GARCÍA MATEOS v. SPAIN - [Spanish Translation] by the Spanish Ministry of Justice,38285/09,HJUDSPA,Court (Third Section),19/02/2013,Preliminary objection dismissed (Article 35-1 - Exhaustion of domestic remedies);Violation of Article 14+6-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 6 - Right to a fair trial;Enforcement proceedings;Article 6-1 - Access to court);Non-pecuniary damage - award
CASE OF GARCÍA MATEOS v. SPAIN - [Georgian Translation] summary by the COE Human Rights Trust Fund,38285/09,HJUDGEO,Court (Third Section),19/02/2013,Preliminary objection dismissed (Article 35-1 - Exhaustion of domestic remedies);Violation of Article 14+6-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 6 - Right to a fair trial;Enforcement proceedings;Article 6-1 - Access to court);Non-pecuniary damage - award
CASE OF GARCÍA MATEOS v. SPAIN - [Armenian Translation] legal summary by the RA Association of Judges and the COE Human Rights Trust Fund,38285/09,HJUDARM,Court (Third Section),19/02/2013,Preliminary objection dismissed (Article 35-1 - Exhaustion of domestic remedies);Violation of Article 14+6-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 6 - Right to a fair trial;Enforcement proceedings;Article 6-1 - Access to court);Non-pecuniary damage - award
CASE OF GARCÍA MATEOS v. SPAIN – [Polish Translation] by the Polish Constitutional Tribunal ,38285/09,HJUDPOL,Court (Third Section),19/02/2013,Preliminary objection dismissed (Article 35-1 - Exhaustion of domestic remedies);Violation of Article 14+6-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 6-1 - Access to court;Article 6 - Enforcement proceedings;Right to a fair trial);Non-pecuniary damage - award
CASE OF GARCÍA MATEOS v. SPAIN - [Czech Translation] summary by the Ministry of Justice of the Czech Republic,38285/09,HJUDCZE,Court (Third Section),19/02/2013,Preliminary objection dismissed (Article 35-1 - Exhaustion of domestic remedies);Violation of Article 14+6-1 - Prohibition of discrimination (Article 14 - Discrimination) (Article 6-1 - Access to court;Article 6 - Enforcement proceedings;Right to a fair trial);Non-pecuniary damage - award
