word,n,p,username,rank
gent,44,0.804093567251462,inesgranollers,1
madrid,986,0.7044769294522799,libertaddigital,1
gobierno,3,5.357142857142857,dvserrada,1
cataluña,93,1.259821186670279,cayetanaat,1
derechos,35,0.73870831574504,hector_illueca_,1
ávila,16,2.753872633390706,georgina_vox,1
avui,47,2.299412915851272,titonlailla,1
avui,22,1.0280373831775702,monicapalacin29,1
torra,129,1.540482445665154,lroldansu,1
país,106,1.1840929401251117,cesarluena,1
segovia,16,1.4519056261343013,jspostigo,1
pp,36,1.3274336283185841,hernanzsofia,1
vox,27,1.6666666666666667,lourdesmndezm1,1
sempre,34,2.5073746312684366,jmjovellado,1
mujeres,114,0.7163953999874317,lidiaguinart,1
valorseguro,70,1.0876320696084525,belenhoyo,1
gracias,100,2.9850746268656714,_patricia_rueda,1
parlament,70,0.5004647172374348,carlestgna,1
nuevafotodeperfil,1,50,lcsahuquillo,1
redondela,170,4.4236273744470465,javierbasco,1
asturias,55,2.502274795268426,imoblanca,1
españa,207,2.016168306223824,franciscopolo,1
madrid,110,1.2582932967284375,conjosemfranco,1
europa,20,0.8802816901408451,crismaestre,1
valorseguro,46,2.4185068349106205,oscarclavell,1
gobierno,149,1.2000644329896908,abalosmeco,1
catalunya,251,1.118787608647203,quimtorraipla,1
gràcies,52,1.5858493443122905,martamadrenas,1
portodoloquenosune,11,2.528735632183908,castille76,1
artículo,10,1.402524544179523,jrivasescamilla,1
cataluña,25,1.4534883720930232,davidmejiayra,1
españa,559,1.8067226890756305,sanchezcastejon,1
política,15,2.2388059701492535,pedrosaurag,1
gobierno,166,0.6683307834769305,anadebande,1
persones,91,0.6649616368286445,wagensberg,1
manlleu,75,2.838758516275549,martamoreta,1
🇪🇸,61,3.2395114179500797,hispanpablo,1
responsabilidad,69,1.1373001483434977,gironajean,1
gobierno,57,2.074990899162723,msolsj,1
!,83,2.483542788749252,malenanevado,1
govern,789,1.0999888467544054,encomu_podem,1
soria,13,2.009273570324575,javieranton,1
barcelona,179,1.2494764763367303,adacolau,1
!!,2,15.384615384615385,figaredojose,1
audio,3103,0.8495806855237256,cope,1
agenda,229,1.5286028970028704,ximopuig,1
villamayor,79,2.76707530647986,jacallejascano,1
gràcies,1369,3.031510883766248,lauraborras,1
gente,85,0.7081562942597683,oskarmatute,1
españa,96,1.2021036814425246,eloysuarezl,1
with,19,0.6320691949434464,jlsteeg_doc,1
innovación,85,1.0573454409752456,astro_duque,1
educación,90,2.1101992966002343,celaaisabel,1
do,35,1.3054830287206265,marina_ortega_,1
avui,44,1.3754298218193186,marisasaavedram,1
barcelona,105,1.4849384811200679,elsa_artadi,1
españa,321,1.6525947281713342,aalmodobar,1
europa,23,1.944209636517329,egardiazabal,1
gracias,7,1.4989293361884368,mvalerio_gu,1
