Spain,  Deaths (Lexis triangle)	Last modified: 05 Oct 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1909   59      1850      652.28      894.21     1546.49
 1909   59      1849      696.34      947.12     1643.46
 1909   60      1849     2314.56     1987.79     4302.35
 1909   60      1848     2513.83     2118.09     4631.92
 1909   61      1848      632.07      816.67     1448.74
 1909   61      1847      686.49      870.21     1556.70
 1909   62      1847     1153.68     1295.90     2449.58
 1909   62      1846     1253.00     1380.84     2633.84
 1909   63      1846      999.98     1165.78     2165.76
 1909   63      1845     1086.08     1242.19     2328.27
 1909   64      1845     1377.49     1445.44     2822.93
 1909   64      1844     1496.09     1540.19     3036.28
 1909   65      1844     1510.00     1550.04     3060.04
 1909   65      1843     1667.18     1666.26     3333.44
 1909   66      1843     1330.95     1421.96     2752.91
 1909   66      1842     1469.49     1528.58     2998.07
 1909   67      1842     1069.52     1164.83     2234.35
 1909   67      1841     1180.85     1252.16     2433.01
 1909   68      1841     1393.33     1432.11     2825.44
 1909   68      1840     1538.37     1539.49     3077.86
 1909   69      1840      818.57      928.48     1747.05
 1909   69      1839      903.78      998.09     1901.87
 1909   70      1839     2962.75     2374.87     5337.62
 1909   70      1838     3305.44     2572.44     5877.88
 1909   71      1838      705.17      817.94     1523.11
 1909   71      1837      786.73      885.99     1672.72
 1909   72      1837     1418.86     1352.32     2771.18
 1909   72      1836     1582.98     1464.83     3047.81
 1909   73      1836     1080.25     1077.43     2157.68
 1909   73      1835     1205.20     1167.06     2372.26
 1909   74      1835     1248.84     1295.03     2543.87
 1909   74      1834     1393.29     1402.77     2796.06
 1909   75      1834     1503.82     1480.34     2984.16
 1909   75      1833     1697.40     1619.63     3317.03
 1909   76      1833     1226.59     1180.05     2406.64
 1909   76      1832     1384.49     1291.09     2675.58
 1909   77      1832      935.24     1008.60     1943.84
 1909   77      1831     1055.63     1103.51     2159.14
 1909   78      1831     1305.66     1293.08     2598.74
 1909   78      1830     1473.74     1414.75     2888.49
 1909   79      1830      719.67      775.37     1495.04
 1909   79      1829      812.31      848.33     1660.64
 1909   80      1829     2384.42     1724.71     4109.13
 1909   80      1828     2692.45     1881.72     4574.17
 1909   81      1828      569.87      534.78     1104.65
 1909   81      1827      643.49      583.46     1226.95
 1909   82      1827      925.63      818.71     1744.34
 1909   82      1826     1045.20      893.24     1938.44
 1909   83      1826      694.10      574.11     1268.21
 1909   83      1825      783.77      626.37     1410.14
 1909   84      1825      974.10      759.72     1733.82
 1909   84      1824     1099.93      828.88     1928.81
 1909   85      1824      817.45      615.77     1433.22
 1909   85      1823      906.90      656.92     1563.82
 1909   86      1823      604.66      478.93     1083.59
 1909   86      1822      670.82      510.94     1181.76
 1909   87      1822      447.91      361.50      809.41
 1909   87      1821      496.92      385.66      882.58
 1909   88      1821      470.24      351.31      821.55
 1909   88      1820      521.69      374.79      896.48
 1909   89      1820      310.64      231.46      542.10
 1909   89      1819      344.63      246.93      591.56
 1909   90      1819      512.90      300.70      813.60
 1909   90      1818      552.17      311.06      863.23
 1909   91      1818      126.90       75.42      202.32
 1909   91      1817      136.61       78.02      214.63
 1909   92      1817      155.37       77.39      232.76
 1909   92      1816      167.26       80.06      247.32
 1909   93      1816      113.39       57.68      171.07
 1909   93      1815      122.07       59.66      181.73
 1909   94      1815      115.32       51.27      166.59
 1909   94      1814      124.15       53.03      177.18
 1909   95      1814      111.26       55.57      166.83
 1909   95      1813      115.18       54.75      169.93
 1909   96      1813       81.23       36.37      117.60
 1909   96      1812       84.09       35.83      119.92
 1909   97      1812       67.94       25.26       93.20
 1909   97      1811       70.33       24.89       95.22
 1909   98      1811       53.66       17.18       70.84
 1909   98      1810       55.55       16.92       72.47
 1909   99      1810       30.52       13.64       44.16
 1909   99      1809       31.60       13.44       45.04
 1909  100      1809       46.66       15.98       62.64
 1909  100      1808       44.52       14.11       58.63
 1909  101      1808        7.21        1.86        9.07
 1909  101      1807        7.20        2.53        9.73
 1909  102      1807        5.78        1.99        7.77
 1909  102      1806        4.62        1.55        6.17
 1909  103      1806        3.67        1.20        4.87
 1909  103      1805        2.89        0.93        3.82
 1909  104      1805        2.27        0.71        2.98
 1909  104      1804        1.77        0.54        2.31
 1909  105      1804        1.37        0.41        1.78
 1909  105      1803        1.06        0.31        1.37
 1909  106      1803        0.81        0.00        0.81
 1909  106      1802        0.62        0.00        0.62
 1909  107      1802        0.47        0.00        0.47
 1909  107      1801        0.35        0.00        0.35
 1909  108      1801        0.00        0.00        0.00
 1909  108      1800        0.00        0.00        0.00
 1909  109      1800        0.00        0.00        0.00
 1909  109      1799        0.00        0.00        0.00
 1909  110+        .        0.00        0.00        0.00
 1910    0      1910    28891.80    35298.75    64190.55
 1910    0      1909    14471.41    18173.34    32644.75
 1910    1      1909    11432.81    12199.76    23632.57
 1910    1      1908     8453.56     9021.20    17474.76
 1910    2      1908     5201.96     5503.78    10705.74
 1910    2      1907     5078.43     5315.79    10394.22
 1910    3      1907     2878.09     2942.42     5820.51
 1910    3      1906     2809.74     2841.92     5651.66
 1910    4      1906     1874.10     1835.95     3710.05
 1910    4      1905     1829.60     1773.24     3602.84
 1910    5      1905     1167.21     1280.71     2447.92
